round,residual_energy
280,39.82762595607356
281,39.79219282171985
282,39.756763440136965
283,39.723628147199705
284,39.6969865480949
285,39.65930135695677
286,39.62197630329542
287,39.5871471806499
288,39.5438026087753
289,39.50474224835546
290,39.45910254861025
291,39.41182363465843
292,39.375282419340486
293,39.340670799570184
294,39.30456179647269
295,39.26720809407201
296,39.23003736985567
297,39.196371047538584
298,39.16483520650129
299,39.13311909584815
300,39.096297577928745
301,39.06458231126726
302,39.032876086774195
303,39.000711237035205
304,38.95523105161636
305,38.91669028743115
306,38.8775080121002
307,38.84044031817352
308,38.80224233078348
309,38.76345068408918
310,38.72601181475872
311,38.688759991310285
312,38.6503525501488
313,38.615921334300054
314,38.58117899679579
315,38.54437957861975
316,38.50723311097525
317,38.473548224943876
318,38.44017113868051
319,38.40985514745579
