round,mse
101,461.6530068484132
102,472.50410033431905
103,631.3233807315329
104,491.89328307449813
105,604.6766365300448
106,576.7848680576709
107,476.59236592303273
108,475.5947971169745
109,468.99105466664764
110,569.8059641884798
111,368.44143414575103
112,220.13773366164435
113,244.58768125723824
114,454.3448738015313
115,584.6834433892036
116,506.46421477415043
117,398.8564184138843
118,395.7105140192056
119,272.34946891874915
120,581.9768977949685
121,554.8786621416335
122,444.4629746212706
123,519.3043186473834
124,540.7473327900183
125,704.7289844789593
126,431.25357903892905
127,438.7411811807934
128,411.1687927834883
129,540.4730577241036
130,305.83285471026016
131,348.5219170926285
132,256.6823373884065
133,582.5529365352413
134,541.7009359170597
135,446.2916108207191
136,441.10652037230676
137,495.7736085416648
138,401.8663038922345
139,298.0932150302505
140,533.9837256161198
141,552.834123862991
142,518.080636263019
143,542.2483989532491
144,483.9302779286844
145,610.3415409939396
146,428.0038367718254
147,635.0872471591462
148,423.4437068738689
149,312.07525078145676
150,403.1593783169529
151,233.8869252013581
152,828.5869959821472
153,486.1773757291128
154,496.4903661564948
155,553.9685249180551
156,392.48530875164937
157,424.0687480144216
158,423.4926584826254
159,340.74793483639405
160,538.5960275387249
161,519.5146594107939
162,470.7430589247333
163,443.15898406368757
164,550.3493012806689
165,550.5195507276947
166,404.96093391975444
167,390.4113150659967
168,346.3234208059119
169,355.8725757963429
170,242.54460386824385
171,614.6504707462678
172,793.9325351094222
173,448.14608632372796
174,405.973454589652
175,464.6465587342455
176,422.27126452859767
177,400.2491238609013
178,323.19975473840185
179,208.70493794336588
180,459.1566301822272
181,510.8525977860344
182,623.7572921064632
183,532.0760243491202
184,480.8050451137753
185,566.3446765894477
186,394.6648251343858
187,422.6011758064693
188,283.11472431316736
189,205.50567191654739
190,551.3078617560154
191,737.8031018058566
192,563.5605277058221
193,527.5855691382916
194,621.8770635050998
195,392.2322266986149
196,550.1913666492305
197,376.8499340165684
198,324.91903219687055
199,331.45169110119707
200,657.5949583063982
201,537.1331140703071
202,497.1956822910484
203,436.87229215082414
204,456.40235271628785
205,436.05018908496845
206,292.50553306222577
207,271.04710394350093
208,232.97867484525125
209,475.1717103464546
210,525.2316337769558
211,550.0489657154717
212,478.57810353578685
213,463.2741734245465
214,538.2093922661977
215,462.12802713495836
216,414.9245074791076
217,385.1915999239648
218,346.0646698602694
219,280.0210305835008
220,533.9434118497605
221,489.5981241129706
222,429.53748597801797
223,496.2100621915717
224,404.18810871650635
225,524.5486421209789
226,317.01070439752027
227,276.77662839746137
228,611.1810111132643
229,529.3362379141167
230,349.04035638467303
231,457.77625702284195
232,616.7360223877612
233,616.0167191837119
234,504.8625331385347
235,472.76665952873554
236,385.222502106266
237,492.12661841655654
238,427.1782642344662
239,259.3902866991381
240,470.583340496747
241,529.870588978914
242,573.0109639898701
243,439.172962239667
244,341.4703601397317
245,322.32855795992936
246,295.10078739330385
247,469.55402833425774
248,695.3867121635537
249,560.2475830068755
250,488.0530580953265
251,438.39050112296997
252,498.51416879814417
253,537.9649857865729
254,474.56495296965886
255,435.9589869772989
256,612.9950827861535
257,495.6110679910867
258,341.99026321948793
259,312.4945915553349
260,373.0652507964522
261,426.51340693255787
262,419.267862877909
263,320.5353309344261
264,361.7439530823391
265,224.4038096815303
266,577.5561270992074
267,549.1852365322704
268,498.0750700622717
269,564.3268054733797
270,416.5981355417945
271,542.2034333263414
272,548.7831226759394
273,503.6831796220576
274,471.72108443421695
275,427.4789503697915
276,402.3679758124116
277,373.7055727386002
278,366.6871881872379
279,299.2744478990355
280,518.9573407272112
281,408.10573186205914
282,465.275444895107
283,461.78096789191306
284,186.84542120357543
285,500.7870804060726
286,513.0390841256976
287,430.9194073323477
288,980.6589872658074
289,705.1388795355297
290,566.060432234948
291,640.6623768133963
292,427.81984780644905
293,488.4604655333359
294,474.68696337542764
295,536.3870806842982
296,555.6372479128651
297,491.65316614381203
298,332.79955881645316
299,255.21545273792455
300,486.5065569324406
301,260.9782679831735
302,326.42190335213996
303,292.0977417559428
304,707.9266464699936
305,452.00756445730036
306,487.31725736010424
307,485.1318773271858
308,511.446975810136
309,523.7264654041236
310,535.1441626629245
311,493.61746231000063
312,456.20202865233404
313,394.09105775016064
314,506.79277019768426
315,462.8746193930517
316,594.9959468834269
317,334.5024692613985
318,405.1622591515532
319,264.30363927927954
320,436.9240993968518
321,308.9059245555734
322,237.99927091527823
323,404.5511902165498
324,523.7473814850152
325,638.3293547013327
326,457.69081010905
327,515.4119214831424
328,533.2594002151919
329,535.3368586144195
330,575.6384222297734
331,416.4811426849723
332,468.2981978144684
333,342.10482979551756
334,334.97470547653904
335,423.4403511115219
336,495.8921856376561
337,612.4437287960639
338,350.27103950201274
339,172.25952616883268
340,417.8950251209384
341,303.25020807894873
342,549.3737586616152
343,773.029265660267
344,660.3434162331483
345,571.738157114932
346,428.1084049282455
347,420.63278110212
348,478.6099798662215
349,510.687995187624
350,504.65120280749477
351,395.93670306475263
352,536.3810866558854
353,495.88514967991165
354,375.0754783395137
355,516.2487361292282
356,299.87004888754035
357,319.80669354663917
358,385.97013610154573
359,223.8638078701354
360,295.5049435199032
361,747.2342616657311
362,587.9019639048666
363,726.5527380533769
364,544.5813072976326
365,372.0738149810127
366,425.1137370336875
367,614.7520249774988
368,443.9872505569286
369,477.34654923547004
370,446.1055207399082
371,527.2735428898852
372,528.2482103750881
373,453.2409663494127
374,382.0803226700564
375,403.22261488754464
376,258.849643756529
377,280.71479051793733
378,330.88315431348826
379,240.47970037122508
380,692.8277467143721
381,682.8783647450007
382,499.24509625373486
383,565.0116450775517
384,701.6792465193001
385,391.88959748286715
386,493.95038370211404
387,654.8071627238256
388,453.87109852940773
389,393.5261044661012
390,464.9798526001626
391,607.3279845594768
392,435.537977935273
393,423.92033410652476
394,327.8861576779742
395,337.0442423497338
396,333.0864808530419
397,254.6803551864367
398,145.76965204441794
399,378.94054884361424
400,578.460941631536
401,530.3440368670477
402,467.89368212753055
403,618.2687803992992
404,590.4442143233139
405,570.4864933282663
406,475.5888662705679
407,516.936765213824
408,649.0680273413692
409,528.9097133499175
410,327.9473719838179
411,331.3872523483085
412,373.8424016167205
413,377.2079904138514
414,461.6285116617921
415,462.0448698020996
416,360.52560071353724
417,264.35179057970083
418,400.21398304140473
419,277.84984095192334
420,541.9314368650429
421,722.8334684284921
422,568.4712711576715
423,652.0363754173998
424,575.7252593533291
425,410.0372429032133
426,441.3104651155003
427,438.87340036411376
428,454.7821863673991
429,563.0142997622202
430,418.71344362569874
431,271.90718933476876
432,513.0820497373031
433,401.32571538660386
434,492.12786561359974
435,291.53286295948413
436,294.80407279133783
437,440.65778079615126
438,425.3481838965164
439,235.82262686640135
440,339.5100300119743
441,610.7749457057853
442,526.1211146224639
443,502.44295157743437
444,663.8340306416845
445,559.1427274646308
446,501.80870951236585
447,448.6006505389662
448,309.58457017095
449,431.9082974208367
450,431.52147918457774
451,504.1395326816559
452,463.65471023938306
