round,residual_energy
280,40.33333897300051
281,40.299172787046
282,40.265066599327945
283,40.23079638512843
284,40.19690384548341
285,40.162818182589845
286,40.1286747643365
287,40.0946784168167
288,40.06052972982908
289,40.02672738735673
290,39.99246777820004
291,39.957954751175855
292,39.923715494484895
293,39.88985359209253
294,39.85550910804403
295,39.821574893477035
296,39.78779214607566
297,39.753788821122605
298,39.71888663357064
299,39.68516339445013
300,39.65102365435607
301,39.61710499614664
302,39.58306406482354
303,39.54903580540102
304,39.515110945641965
305,39.48080047817809
306,39.44653168750448
307,39.41217874163242
308,39.37810753747405
309,39.3442620309597
310,39.31004145910875
311,39.27602404008347
312,39.242048377633665
313,39.20824028454784
314,39.17400275136139
315,39.13978729018808
316,39.105649675524674
317,39.07169001723032
318,39.037384861732946
319,39.003437621630205
